Country,Biogas,Biomass,Coal Gases,Geothermal,Hard Coal,Heavy Fuel Oil,Hydro,Lignite,Natural Gas,Nuclear,Peat,Photovoltaics,Solar Thermal,Waste,Wind
Argentina,0,0,0,0,0,30,1114,0,19,39,0,0,0,0,0
Australia,2,3,3,0,3,3,520,5,3,0,0,0,0,0,0
Austria,23,13,21,0,13,9,7100,0,3,0,0,0,0,23,0
Belgium,5,14,15,0,17,6,2613,0,5,30,0,0,0,23,0
Brazil,27,17,23,0,23,24,348,36,20,39,0,0,0,0,0
Bulgaria,22,13,0,0,16,6,640,25,3,31,0,0,0,0,0
Canada,29,31,0,0,30,29,1287,31,20,45,0,0,0,5,0
Chile,0,7,0,0,23,22,345,0,15,0,0,0,0,0,0
China,0,10,8,0,5,6,824,0,3,8,0,0,0,23,0
Cyprus,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0
Czech Republic,2,2,2,0,2,3,5685,3,1,4,0,0,0,23,0
Denmark,0,0,0,0,1,1,9715,0,0,0,0,0,0,23,0
Estonia,11,7,0,0,32,32,9715,45,13,0,4,0,0,23,0
Finland,1,1,3,0,1,1,2238,0,0,3,1,0,0,23,0
France,8,13,11,0,9,3,5074,0,3,14,0,0,0,23,0
Germany,8,14,11,2,11,10,7200,12,4,20,0,0,0,0,0
Great Britain,7,7,10,0,5,9,215,0,3,9,0,0,0,23,0
Greece,1,0,0,0,1,1,303,1,1,0,0,0,0,23,0
Hungary,33,42,38,0,8,26,9946,37,8,46,0,0,0,23,0
Iceland,0,0,0,0,0,59,342,0,0,0,0,0,0,0,0
India,13,18,13,0,9,10,6071,9,7,11,0,0,0,23,0
Indonesia,69,56,0,2,28,26,6021,25,21,0,0,0,0,23,0
Ireland,4,4,0,0,3,4,1415,0,2,0,4,0,0,23,0
Italy,8,14,11,2,10,9,3418,11,4,0,0,0,0,23,0
Japan,0,1,1,2,1,1,5810,0,1,1,0,0,0,37,0
Latvia,2,3,0,0,2,1,9919,0,1,0,0,0,0,0,0
Lithuania,12,8,0,0,0,10,152,0,7,44,2,0,0,23,0
Luxembourg,5,4,0,0,0,0,43,0,11,0,0,0,0,23,0
Malaysia,44,44,0,0,26,17,6934,0,25,0,0,0,0,23,0
Malta,34,0,0,0,0,24,0,0,0,0,0,0,0,0,0
Mexico,0,0,0,0,0,30,818,0,18,39,0,0,0,0,0
Netherlands,7,19,16,0,15,10,9715,0,4,27,0,0,0,23,0
New Zealand,23,21,26,2,19,22,816,22,12,0,0,0,0,0,0
Norway,26,37,29,0,29,29,2306,0,12,0,0,0,0,23,0
Poland,7,11,18,0,10,5,185,14,5,0,0,0,0,23,0
Portugal,19,30,0,2,14,10,1345,0,5,0,0,0,0,23,0
Romania,15,10,21,0,11,9,346,12,4,18,0,0,0,0,0
Russia,0,7,8,2,7,10,3209,8,7,17,6,0,0,35,0
Slovakia,12,19,6,0,15,8,1839,21,3,26,0,0,0,23,0
Slovenia,3,3,0,0,3,16,9846,10,1,12,0,0,0,23,0
South Korea,8,0,0,0,0,0,3936,0,3,12,0,0,0,0,0
Spain,13,14,11,0,13,10,309,13,5,19,0,0,0,23,0
Sweden,0,0,0,0,0,0,2209,0,0,2,0,0,0,23,0
Switzerland,13,14,0,0,0,6,4561,0,1,17,0,0,0,23,0
Taiwan,0,0,0,0,0,0,3504,0,0,0,0,0,0,0,0
Thailand,0,0,0,0,0,0,6010,0,0,0,0,0,0,0,0
Turkey,5,10,15,2,7,8,2265,10,3,0,0,0,0,23,0
Ukraine,0,0,0,0,0,0,4171,0,0,0,0,0,0,0,0
United States,14,13,8,2,12,9,1264,12,5,17,0,0,0,5,0
