Country,Biogas,Biomass,Coal Gases,Geothermal,Hard Coal,Heavy Fuel Oil,Hydro,Lignite,Natural Gas,Nuclear,Peat,Photovoltaic,Solar Thermal,Waste,Wind
Argentina,0,2,0.3,0,2.5,13.8,29.2,0,47.6,4.1,0,0,0,0,0.5
Australia,0.7,0.8,0,0,42.6,2,7.4,18.6,21.9,0,0,2,0,0,4.1
Austria,0.9,5.3,3,0,4.5,0.9,68.5,0,8.3,0,0,1.2,0,1.5,5.9
Belgium,1.3,3.6,3,0,3.1,0.3,2.1,0,26.7,46.6,0,4,0,2.9,6.4
Brazil,0.1,7.7,1.4,0,1.8,6,63.3,1.3,13.7,2.6,0,0,0,0,2.1
Bulgaria,0.1,0.3,0,0,4.9,0.4,10.9,40,4.5,33.4,0,2.6,0,0,2.8
Canada,0.2,0.6,0,0,1.4,1.2,58.5,8.5,9.4,16.5,0,0.3,0,0,3.5
Chile,0.1,7.2,0,0,35.4,6.2,31.5,0,17,0,0,0.7,0,0,2
China,0,0.8,1.3,0,71.1,0.2,18.7,0,2,2.3,0,0.5,0,0.2,2.8
Cyprus,1.2,0,0,0,0,92.7,0,0,0,0,0,1.9,0,0,4.2
Czech Republic,3,2.3,0.9,0,6,0,3.4,41.5,4.2,35.3,0,2.5,0,0.2,0.6
Denmark,1.4,9.2,0,0,34.4,1,0.1,0,6.5,0,0,1.9,0,5,40.6
Estonia,0.2,5.9,0,0,0.1,0.4,0.2,82.8,4.7,0,0.4,0,0,0.6,4.9
Finland,0.5,16.2,0.7,0,11.7,0.4,19.8,0,8.1,34.8,5,0,0,1.2,1.6
France,0.3,0.3,0.4,0,1.7,0.3,12.3,0,2.3,77.6,0,1.1,0,0.7,3.1
Germany,5,1.9,1.7,0,19,0.9,4.1,24.9,10,15.5,0,5.8,0,2.2,9.2
Great Britain,2.4,4.1,0.3,0,29.8,0.5,2.6,0,29.7,18.8,0,1.2,0,1.2,9.5
Greece,0.4,0,0,0,0,11,9.1,51,13.4,0,0,7.5,0,0.2,7.3
Hungary,1,5.8,0.4,0,0,0.3,1,20.4,14.4,53.4,0,0.2,0,0.9,2.2
Iceland,0,0,0,28.9,0,0,71,0,0,0,0,0,0,0,0
India,0.1,1.8,0.1,0,59.3,1.8,10.2,15.6,4.9,2.8,0,0.4,0,0.1,2.9
Indonesia,0.3,0.1,0,4.4,0,11.3,6.6,52.7,24.6,0,0,0,0,0,0
Ireland,0.8,1,0,0,15.3,0.7,3.8,0,49.1,0,9.4,0,0,0.5,19.5
Italy,4.5,1.4,1.1,2.1,15.2,5.1,21.6,0.3,33.5,0,0,8,0,1.7,5.4
Japan,0,2.8,3.7,0.3,29.8,11.2,8.4,0,40.4,0,0,2.4,0,0.6,0.5
Latvia,6.8,6.2,0,0,0,0,38.8,0,45.5,0,0,0,0,0,2.7
Lithuania,1.9,7.1,0,0,0,3.9,26.2,0,42.1,0,0,1.8,0,1.7,15.4
Luxembourg,2.1,0.7,0,0,0,0,39.4,0,48.9,0,0,3.2,0,3,2.7
Malaysia,0,0.4,0,0,37.9,2.4,9.1,0,50.1,0,0,0.2,0,0,0
Malta,3,0.3,0,0,0,96.7,0,0,0,0,0,0,0,0,0
Mexico,0.1,0.4,0.1,2,11.1,11,12.9,0,57,3.2,0,0.1,0,0,2.1
Netherlands,1,2,2.8,0,28.6,1.9,0.1,0,49.9,4,0,0.8,0,3.4,5.6
New Zealand,0.6,0.9,1.4,16.7,3,0,55.9,0,16.3,0,0,0,0,0,5.1
Norway,0,0,0.1,0,0,0,96.2,0,1.8,0,0,0,0,0.3,1.6
Poland,0.5,5.8,1.3,0,47.9,1,1.7,33.6,3.4,0,0,0,0,0,4.4
Portugal,0.5,4.8,0,0.4,22.6,2.6,31.1,0,12.9,0,0,1.2,0,0.9,22.9
Romania,0.1,0.7,0.1,0,0.4,0.7,29.4,26.6,12.3,17.8,0,2.5,0,0,9.4
Russia,0,0,0.4,0,8.6,1,16.7,5.7,50.1,17,0.1,0,0,0.3,0
Slovakia,1.8,3.4,1.8,0,3.5,1.1,16.4,7,5.9,56.8,0,2.2,0,0.2,0
Slovenia,0.8,0.7,0,0,2.3,0.2,36.5,19.3,2.1,36.5,0,1.5,0,0,0
South Korea,0.2,0.1,3.9,0,38.2,3.2,1.5,0,23.7,28.4,0,0.5,0,0.1,0.2
Spain,0.3,1.4,0.5,0,14.7,5.1,15.4,1.1,17,20.6,0,3,2,0.5,18.7
Sweden,0,5.9,0.3,0,0.2,0.2,41.6,0,0.3,42.2,0.1,0,0,1.9,7.3
Switzerland,0.4,0.4,0,0,0,0.1,55.3,0,0.7,38.4,0,1.2,0,3.4,0.1
Taiwan,0,0.2,1.9,0,38.7,3.3,2.9,7.7,27.1,16.3,0,0.2,0,1.3,0.6
Thailand,0.3,4.4,0,0,11.7,1,3.2,10,68.3,0,0,0.8,0,0.2,0.2
Turkey,0.4,0,0.8,0.9,14.6,0.9,16.2,14.9,47.9,0,0,0,0,0,3.4
Ukraine,0,0.1,0.5,0,38,0.1,5.1,0,7,48.4,0,0.2,0,0,0.6
United States of America,0.3,1.1,0.1,0.4,37.3,0.9,6.5,2.1,26.8,19.2,0,0.5,0.1,0.5,4.2
